"General Name","LOINC Code","Fully-Specified Name (FSN)","Long Common Name"
"Coagulation Factor VIII Activity actual/normal, Blood","3209-4","Coagulation factor VIII activity actual/Normal:RelTime:Pt:PPP:Qn:Coag","Coagulation factor VIII activity actual/normal in Platelet poor plasma by Coagulation assay"
"Complement C4, Blood","4498-2","Complement C4:MCnc:Pt:Ser/Plas:Qn","Complement C4 [Mass/volume] in Serum or Plasma"
"Culture, Specimen","580-1","Fungus identified:Prid:Pt:XXX:Nom:Culture","Fungus identified in Specimen by Culture"
"Cocklebur allergy test","6077-2","Xanthium commune Ab.IgE:ACnc:Pt:Ser:Qn","Cocklebur IgE Ab [Units/volume] in Serum"
"Bacteria, Semen","14124-2","Bacteria:PrThr:Pt:Semen:Ord:Microscopy.light","Bacteria [Presence] in Semen by Light microscopy"
"Apple allergy test","6021-0","Malus sylvestris Ab.IgE:ACnc:Pt:Ser:Qn","Apple IgE Ab [Units/volume] in Serum"
"Epithelial cells, Semen","58766-7","Epithelial cells:Naric:Pt:Semen:Qn:Microscopy.light.HPF","Epithelial cells [#/area] in Semen by Microscopy high power field"
"Adenosine deaminase, Body fluid","9404-5","Adenosine deaminase:CCnc:Pt:Body fld:Qn","Adenosine deaminase [Enzymatic activity/volume] in Body fluid"
"Creatinine, Blood","2160-0","Creatinine:MCnc:Pt:Ser/Plas:Qn","Creatinine [Mass/volume] in Serum or Plasma"
"Schistocytes, Blood","800-3","Schistocytes:PrThr:Pt:Bld:Ord:Microscopy.light","Schistocytes [Presence] in Blood by Light microscopy"
"Cholesterol, Urine","14444-4","Cholesterol:MCnc:Pt:Urine:Qn","Cholesterol [Mass/volume] in Urine"
"Microscopic observation, Spinal fluid","58943-2","Microscopic observation:Prid:Pt:CSF:Nom:Acid fast stain.Ziehl-Neelsen","Microscopic observation [Identifier] in Cerebral spinal fluid by Acid fast stain.Ziehl-Neelsen"
"Culture, Tissue","627-0","Bacteria identified:Prid:Pt:Tiss:Nom:Aerobic culture","Bacteria identified in Tissue by Aerobe culture"
"Acetone, Urine","5569-9","Acetone:PrThr:Pt:Urine:Ord","Acetone [Presence] in Urine"
"Campylobacter sp culture, Body fluid","20739-9","Campylobacter sp identified:Prid:Pt:Body fld:Nom:Organism specific culture","Campylobacter sp identified in Body fluid by Organism specific culture"
"Alkaline phosphatase, Blood","6768-6","Alkaline phosphatase:CCnc:Pt:Ser/Plas:Qn","Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma"
"Gum-Tree allergy test","6113-5","Eucalyptus spp Ab.IgE:ACnc:Pt:Ser:Qn","Gum-Tree IgE Ab [Units/volume] in Serum"
"Coffee allergy test","6083-0","Coffea spp Ab.IgE:ACnc:Pt:Ser:Qn","Coffee IgE Ab [Units/volume] in Serum"
"Aluminum/Creatinine, Urine","13470-0","Aluminum/Creatinine:MRto:Pt:Urine:Qn","Aluminum/Creatinine [Mass Ratio] in Urine"
"Casts, Urine","87827-2","Casts:PrThr:Pt:Urine:Ord","Casts [Presence] in Urine"
"Celery allergy test","6065-7","Apium graveolens Ab.IgE:ACnc:Pt:Ser:Qn","Celery IgE Ab [Units/volume] in Serum"
"Eosinophils, Blood","26449-9","Eosinophils:NCnc:Pt:Bld:Qn","Eosinophils [#/volume] in Blood"
"Chick pea allergy test","7573-9","Cicer arietinus Ab.IgE:ACnc:Pt:Ser:Qn","Chick Pea IgE Ab [Units/volume] in Serum"
"Albumin/Globulin, Blood","1759-0","Albumin/Globulin:MRto:Pt:Ser/Plas:Qn","Albumin/Globulin [Mass Ratio] in Serum or Plasma"
"Chromium/Creatinine, Urine","13464-3","Chromium/Creatinine:MRto:Pt:Urine:Qn","Chromium/Creatinine [Mass Ratio] in Urine"
"Arsenic, Urine","5587-1","Arsenic:MRat:24H:Urine:Qn","Arsenic [Mass/time] in 24 hour Urine"
"Bicarbonate, Blood","1963-8","Bicarbonate:SCnc:Pt:Ser/Plas:Qn","Bicarbonate [Moles/volume] in Serum or Plasma"
"Urea Nitrogen (BUN), Urine","3096-5","Urea nitrogen:MRat:24H:Urine:Qn","Urea nitrogen [Mass/time] in 24 hour Urine"
"Delta aminolevulinate/Creatinine, Urine","39782-8","Delta aminolevulinate/Creatinine:SRto:Pt:Urine:Qn","Delta aminolevulinate/Creatinine [Molar ratio] in Urine"
"Cobalt, Blood","5625-9","Cobalt:MCnc:Pt:Bld:Qn","Cobalt [Mass/volume] in Blood"
"Neutrophils, Blood","751-8","Neutrophils:NCnc:Pt:Bld:Qn:Automated count","Neutrophils [#/volume] in Blood by Automated count"
"Bilirubin.indirect, Blood","1971-1","Bilirubin.non-glucuronidated:MCnc:Pt:Ser/Plas:Qn","Bilirubin.indirect [Mass/volume] in Serum or Plasma"
"Basophils, Blood","704-7","Basophils:NCnc:Pt:Bld:Qn:Automated count","Basophils [#/volume] in Blood by Automated count"
"HER2, Breast cancer specimen","85319-2","HER2:PrThr:Pt:Breast cancer specimen:Ord:Immune stain","HER2 [Presence] in Breast cancer specimen by Immune stain"
"Chloride, Urine","2079-2","Chloride:SRat:24H:Urine:Qn","Chloride [Moles/time] in 24 hour Urine"
"Susceptibility to 5-Fluorocytosine","18855-7","5-Fluorocytosine:Susc:Pt:Isolate:OrdQn","5-Fluorocytosine [Susceptibility]"
"Arsenic, Urine","21074-0","Arsenic:MCnc:24H:Urine:Qn","Arsenic [Mass/volume] in 24 hour Urine"
"Cadmium/Creatinine, Urine","13471-8","Cadmium/Creatinine:MRto:Pt:Urine:Qn","Cadmium/Creatinine [Mass Ratio] in Urine"
"Alpha 1 antitrypsin, Blood","1825-9","Alpha 1 antitrypsin:MCnc:Pt:Ser/Plas:Qn","Alpha 1 antitrypsin [Mass/volume] in Serum or Plasma"
"Blasts per 100 white blood cells, Blood","26446-5","Blasts/100 leukocytes:NFr:Pt:Bld:Qn","Blasts/100 leukocytes in Blood"
"Microscopic observation, Stool","649-4","Microscopic observation:Prid:Pt:Stool:Nom:Gram stain","Microscopic observation [Identifier] in Stool by Gram stain"
"Susceptibility to Ethionamide","18922-5","Ethionamide:Susc:Pt:Isolate:OrdQn","Ethionamide [Susceptibility]"
"Ferritin, Blood","2276-4","Ferritin:MCnc:Pt:Ser/Plas:Qn","Ferritin [Mass/volume] in Serum or Plasma"
"Glucose-6-Phosphate dehydrogenase, Red blood cells","32546-4","Glucose-6-Phosphate dehydrogenase:CCnt:Pt:RBC:Qn","Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells"
"Eosinophils per 100 white blood cells, Pericardial fluid","32013-5","Eosinophils/100 leukocytes:NFr:Pt:Pericard fld:Qn:Manual count","Eosinophils/100 leukocytes in Pericardial fluid by Manual count"
"Globulin, Urine","14431-1","Globulin:MCnc:Pt:Urine:Qn","Globulin [Mass/volume] in Urine"
"Coagulation Factor XIII Activated, Blood","3237-5","Coagulation factor XIII activated activity:ACnc:Pt:PPP:Qn:Coag","Coagulation factor XIII activated [Units/volume] in Platelet poor plasma by Coagulation assay"
"Free T4, Blood","3024-7","Thyroxine.free:MCnc:Pt:Ser/Plas:Qn","Thyroxine (T4) free [Mass/volume] in Serum or Plasma"
"Everolimus, Blood","50544-6","Everolimus:MCnc:Pt:Bld:Qn","Everolimus [Mass/volume] in Blood"
"Gamma glutamyl transferase, Blood","2324-2","Gamma glutamyl transferase:CCnc:Pt:Ser/Plas:Qn","Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma"
"Glucose 1 hr after glucose, Blood","20438-8","Glucose^1H post dose glucose:MCnc:Pt:Ser/Plas:Qn","Glucose [Mass/volume] in Serum or Plasma --1 hour post dose glucose"
"English plantain allergy test","6110-1","Plantago lanceolata Ab.IgE:ACnc:Pt:Ser:Qn","English plantain IgE Ab [Units/volume] in Serum"
"Fibrin+Fibrinogen fragments, Blood","29991-7","Fibrin+Fibrinogen fragments:MCnc:Pt:Ser:Qn:LA","Fibrin+Fibrinogen fragments [Mass/volume] in Serum by Latex agglutination"
"Dog epithelium allergy test","6099-6","Dog epithelium Ab.IgE:ACnc:Pt:Ser:Qn","Dog epithelium IgE Ab [Units/volume] in Serum"
"Epithelial cells, Urine sediment","5787-7","Epithelial cells:Naric:Pt:Urine sed:Qn:Microscopy.light.HPF","Epithelial cells [#/area] in Urine sediment by Microscopy high power field"
"Folate, Blood","2284-8","Folate:MCnc:Pt:Ser/Plas:Qn","Folate [Mass/volume] in Serum or Plasma"
"Spermatozoa duplicate head per 100 Sperm, Semen","10609-6","Spermatozoa.duplicate head/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Duplicate Head/100 spermatozoa in Semen"
"American house dust mite allergy test","6095-4","Dermatophagoides farinae Ab.IgE:ACnc:Pt:Ser:Qn","American house dust mite IgE Ab [Units/volume] in Serum"
"Eosinophils per 100 white blood cells, Blood","26450-7","Eosinophils/100 leukocytes:NFr:Pt:Bld:Qn","Eosinophils/100 leukocytes in Blood"
"Susceptibility to Ethambutol 5 ug/mL","25194-2","Ethambutol 5.0 ug/mL:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Ethambutol 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria"
"Gastrin.17 residue fragment, Blood","2331-7","Gastrin.17 residue fragment:MCnc:Pt:Ser/Plas:Qn","Gastrin.17 residue fragment [Mass/volume] in Serum or Plasma"
"Spermatozoa coiled tail per 100 Sperm, Semen","10607-0","Spermatozoa.coiled tail/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Coiled Tail/100 spermatozoa in Semen"
"Egg yolk allergy test","6107-7","Egg yolk Ab.IgE:ACnc:Pt:Ser:Qn","Egg yolk IgE Ab [Units/volume] in Serum"
"Epithelial cells, Urine sediment","33342-7","Epithelial cells:Naric:Pt:Urine sed:Qn:Automated count","Epithelial cells [#/area] in Urine sediment by Automated count"
"White elm allergy test","6109-3","Ulmus americana Ab.IgE:ACnc:Pt:Ser:Qn","White Elm IgE Ab [Units/volume] in Serum"
"Egg white allergy test","6106-9","Egg white Ab.IgE:ACnc:Pt:Ser:Qn","Egg white IgE Ab [Units/volume] in Serum"
"Dog dander allergy test","6098-8","Dog dander Ab.IgE:ACnc:Pt:Ser:Qn","Dog dander IgE Ab [Units/volume] in Serum"
"Yersinia sp culture, Specimen","701-3","Yersinia sp identified:Prid:Pt:XXX:Nom:Organism specific culture","Yersinia sp identified in Specimen by Organism specific culture"
"European house dust mite allergy test","6096-2","Dermatophagoides pteronyssinus Ab.IgE:ACnc:Pt:Ser:Qn","European house dust mite IgE Ab [Units/volume] in Serum"
"Susceptibility to cycloSERINE","23608-3","cycloSERINE:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","cycloSERINE [Susceptibility] by Method for Slow-growing mycobacteria"
"C Reactive Protein (CRP), Blood","1988-5","C reactive protein:MCnc:Pt:Ser/Plas:Qn","C reactive protein [Mass/volume] in Serum or Plasma"
"Casein allergy test","6062-4","Casein Ab.IgE:ACnc:Pt:Ser:Qn","Casein IgE Ab [Units/volume] in Serum"
"Baker's yeast allergy test","6287-7","Saccharomyces cerevisiae Ab.IgE:ACnc:Pt:Ser:Qn","Baker's yeast IgE Ab [Units/volume] in Serum"
"Barley allergy test","6037-6","Hordeum vulgare Ab.IgE:ACnc:Pt:Ser:Qn","Barley IgE Ab [Units/volume] in Serum"
"Appearance, Urine","5767-9","Appearance:Aper:Pt:Urine:Nom","Appearance of Urine"
"Apolipoprotein E, Blood","1886-1","Apolipoprotein E:MCnc:Pt:Ser/Plas:Qn","Apolipoprotein E [Mass/volume] in Serum or Plasma"
"Almond allergy test","6019-4","Prunus dulcis Ab.IgE:ACnc:Pt:Ser:Qn","Almond IgE Ab [Units/volume] in Serum"
"Aluminum, Urine","5577-2","Aluminum:MCnc:Pt:Urine:Qn","Aluminum [Mass/volume] in Urine"
"Susceptibility to Anidulafungin","57095-2","Anidulafungin:Susc:Pt:Isolate:OrdQn","Anidulafungin [Susceptibility]"
"Liver alkaline phosphatase, Blood","15015-1","Alkaline phosphatase.liver/Alkaline phosphatase.total:CFr:Pt:Ser/Plas:Qn","Alkaline phosphatase.liver/Alkaline phosphatase.total in Serum or Plasma"
"Streptolysin O antibody, Blood","5370-2","Streptolysin O Ab:ACnc:Pt:Ser/Plas:Qn","Streptolysin O Ab [Units/volume] in Serum or Plasma"
"Ethanol, Blood","5643-2","Ethanol:MCnc:Pt:Ser/Plas:Qn","Ethanol [Mass/volume] in Serum or Plasma"
"Adenosine deaminase, Synovial fluid","51799-5","Adenosine deaminase:CCnc:Pt:Synv fld:Qn","Adenosine deaminase [Enzymatic activity/volume] in Synovial fluid"
"Microscopic observation, Body fluid","58944-0","Microscopic observation:Prid:Pt:Body fld:Nom:Acid fast stain.Ziehl-Neelsen","Microscopic observation [Identifier] in Body fluid by Acid fast stain.Ziehl-Neelsen"
"Microscopic observation, Tissue","6657-1","Microscopic observation:Prid:Pt:Tiss:Nom:Acid fast stain.Ziehl-Neelsen","Microscopic observation [Identifier] in Tissue by Acid fast stain.Ziehl-Neelsen"
"Susceptibility to Amphotericin B","18863-1","Amphotericin B:Susc:Pt:Isolate:OrdQn","Amphotericin B [Susceptibility]"
"Aldolase, Blood","1761-6","Aldolase:CCnc:Pt:Ser/Plas:Qn","Aldolase [Enzymatic activity/volume] in Serum or Plasma"
"Blood group antibody screen, Blood","890-4","Blood group antibody screen:PrThr:Pt:Ser/Plas:Ord","Blood group antibody screen [Presence] in Serum or Plasma"
"Osmotic fragility, Red blood cells","4667-2","Osmotic fragility:NFr:Pt:RBC:Qn","Osmotic fragility of Red Blood Cells"
"Lymphocytes, Blood","731-0","Lymphocytes:NCnc:Pt:Bld:Qn:Automated count","Lymphocytes [#/volume] in Blood by Automated count"
"Microscopic observation, Body fluid","27112-2","Microscopic observation:Prid:Pt:Body fld:Nom:Gram stain","Microscopic observation [Identifier] in Body fluid by Gram stain"
"Glycosaminoglycans/Creatinine, Urine","46132-7","Glycosaminoglycans/Creatinine:Ratio:Pt:Urine:Qn","Glycosaminoglycans/Creatinine [Ratio] in Urine"
"Follitropin (FSH; Follicle Stimulating Hormone), Blood","15067-2","Follitropin:ACnc:Pt:Ser/Plas:Qn","Follitropin [Units/volume] in Serum or Plasma"
"Glucose after Meal, Blood","87422-2","Glucose^post meal:MCnc:Pt:Bld:Qn","Glucose [Mass/volume] in Blood --post meal"
"GFR/1.73 Sq M.predicted, Blood","62238-1","Glomerular filtration rate/1.73 sq M.predicted:ArVRat:Pt:Ser/Plas/Bld:Qn:Creatinine-based formula (CKD-EPI)","Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (CKD-EPI)"
"Glucose after Fast, Urine","6764-5","Glucose^post CFst:PrThr:Pt:Urine:Ord:Test strip","Fasting glucose [Presence] in Urine by Test strip"
"Glucose-6-Phosphate dehydrogenase, Red blood cells","2357-2","Glucose-6-Phosphate dehydrogenase:CCnc:Pt:RBC:Qn","Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Red Blood Cells"
"Estradiol, Blood","2243-4","Estradiol:MCnc:Pt:Ser/Plas:Qn","Estradiol (E2) [Mass/volume] in Serum or Plasma"
"Coagulation Factor IX Activity actual/normal, Blood","3187-2","Coagulation factor IX activity actual/Normal:RelTime:Pt:PPP:Qn:Coag","Coagulation factor IX activity actual/normal in Platelet poor plasma by Coagulation assay"
"Free PSA, Blood","10886-0","Prostate specific Ag.free:MCnc:Pt:Ser/Plas:Qn","Prostate Specific Ag Free [Mass/volume] in Serum or Plasma"
"Epithelial cells, Blood","53541-9","Epithelial cells:PrThr:Pt:Bld:Ord:Microscopy.light","Epithelial cells [Presence] in Blood by Light microscopy"
"Elliptocytes, Blood","11274-8","Elliptocytes:PrThr:Pt:Bld:Ord:Microscopy.light","Elliptocytes [Presence] in Blood by Light microscopy"
"Eosinophil Cationic Protein (ECP)","25638-8","Eosinophil cationic protein:MCnc:Pt:Ser:Qn","Eosinophil cationic protein (ECP) [Mass/volume] in Serum"
"Fibrin d-dimer, Blood","29280-5","Fibrin D-dimer:PrThr:Pt:PPP:Ord:LA","Fibrin D-dimer [Presence] in Platelet poor plasma by Latex agglutination"
"DHEA-S, Blood","2191-5","Dehydroepiandrosterone sulfate:MCnc:Pt:Ser/Plas:Qn","Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma"
"Microscopic observation, Ear","14365-1","Microscopic observation:Prid:Pt:Ear:Nom:Gram stain","Microscopic observation [Identifier] in Ear by Gram stain"
"Spermatozoa round head per 100 Sperm, Semen","10625-2","Spermatozoa.round head/100 spermatozoa:NFr:Pt:Semen:Qn","Spermatozoa Round Head/100 spermatozoa in Semen"
"Microscopic observation, Sputum","648-6","Microscopic observation:Prid:Pt:Sputum:Nom:Gram stain","Microscopic observation [Identifier] in Sputum by Gram stain"
"Parasite test, Blood","24429-3","Parasite identified:Prid:Pt:Bld:Nom","Parasite identified in Blood"
"Glucose after Fast, Blood","1558-6","Glucose^post CFst:MCnc:Pt:Ser/Plas:Qn","Fasting glucose [Mass/volume] in Serum or Plasma"
"Plasmodium infected red blood cells per 100 Red Blood Cells, Blood","53556-7","Erythrocytes.Plasmodium sp infected/100 erythrocytes:NFr:Pt:Bld:Qn","Erythrocytes.Plasmodium sp infected/100 erythrocytes in Blood"
"Immunoglobulin light chains.kappa, Urine","27365-6","Immunoglobulin light chains.kappa:MCnc:Pt:Urine:Qn","Kappa light chains [Mass/volume] in Urine"
"Garlic allergy test","6122-6","Allium sativum Ab.IgE:ACnc:Pt:Ser:Qn","Garlic IgE Ab [Units/volume] in Serum"
"Free lambda light chains, Blood","33944-0","Immunoglobulin light chains.lambda.free:MCnc:Pt:Ser/Plas:Qn","Lambda light chains.free [Mass/volume] in Serum or Plasma"
"Free kappa light chains, Blood","80515-0","Immunoglobulin light chains.kappa.free:MCnc:Pt:Ser:Qn:Nephelometry","Kappa light chains.free [Mass/volume] in Serum by Nephelometry"
"Horse dander allergy test","6143-2","Horse dander Ab.IgE:ACnc:Pt:Ser:Qn","Horse dander IgE Ab [Units/volume] in Serum"
"Lactate Dehydrogenase (LDH), Urine","2534-6","Lactate dehydrogenase:CCnc:Pt:Urine:Qn","Lactate dehydrogenase [Enzymatic activity/volume] in Urine"
"Susceptibility to Kanamycin 5 ug/mL","25182-7","Kanamycin 5.0 ug/mL:Susc:Pt:Isolate:OrdQn:Method for Slow-growing mycobacteria","Kanamycin 5 ug/mL [Susceptibility] by Method for Slow-growing mycobacteria"
"IgM, Blood","18303-8","IgM:PrThr:Pt:Ser:Ord:Immunofixation","IgM [Presence] in Serum by Immunofixation"
"Immunoglobulin light chains.kappa, Urine","15188-6","Immunoglobulin light chains.kappa:MCnc:24H:Urine:Qn","Kappa light chains [Mass/volume] in 24 hour Urine"
"Free kappa light chains/Free Lambda Light Chains, Blood","48378-4","Immunoglobulin light chains.kappa.free/Immunoglobulin light chains.lambda.free:MRto:Pt:Ser:Qn","Kappa light chains.free/Lambda light chains.free [Mass Ratio] in Serum"
"Lemon allergy test","6159-8","Citrus limon Ab.IgE:ACnc:Pt:Ser:Qn","Lemon IgE Ab [Units/volume] in Serum"
"Ketones, Urine","33903-6","Ketones:PrThr:Pt:Urine:Ord","Ketones [Presence] in Urine"
"Lactate, Blood","14118-4","Lactate:MCnc:Pt:Ser/Plas:Qn","Lactate [Mass/volume] in Serum or Plasma"
"Lupus erythematosus cells, Blood","13507-9","Lupus erythematosus cells:PrThr:Pt:Bld:Ord","Lupus erythematosus cells [Presence] in Blood"
"Lead, Blood","77307-7","Lead:MCnc:Pt:BldV:Qn","Lead [Mass/volume] in Venous blood"
"Ketoconazole, Specimen","25259-3","Ketoconazole:MCnc:Pt:XXX:Qn","Ketoconazole [Mass/volume] in Specimen"
"Lentils allergy test","7458-3","Lens esculenta Ab.IgE:ACnc:Pt:Ser:Qn","Lentils IgE Ab [Units/volume] in Serum"
"Free lambda light chains, Blood","80516-8","Immunoglobulin light chains.lambda.free:MCnc:Pt:Ser:Qn:Nephelometry","Lambda light chains.free [Mass/volume] in Serum by Nephelometry"
"Susceptibility to levoFLOXacin","20629-2","levoFLOXacin:Susc:Pt:Isolate:OrdQn","levoFLOXacin [Susceptibility]"
"Lead, Urine","20625-0","Lead:MCnc:24H:Urine:Qn","Lead [Mass/volume] in 24 hour Urine"
"Lymphocytes per 100 white blood cells, Pericardial fluid","26480-4","Lymphocytes/100 leukocytes:NFr:Pt:Pericard fld:Qn","Lymphocytes/100 leukocytes in Pericardial fluid"
"Immunoglobulin light chains.lambda, Urine","27394-6","Immunoglobulin light chains.lambda:MCnc:Pt:Urine:Qn","Lambda light chains [Mass/volume] in Urine"
"Magnesium, Urine","24447-5","Magnesium:MRat:24H:Urine:Qn","Magnesium [Mass/time] in 24 hour Urine"
"Malt allergy test","6166-3","Malt Ab.IgE:ACnc:Pt:Ser:Qn","Malt IgE Ab [Units/volume] in Serum"
"Lobster allergy test","6165-5","Homarus gammarus Ab.IgE:ACnc:Pt:Ser:Qn","Lobster IgE Ab [Units/volume] in Serum"
"Magnesium, Urine","32024-2","Magnesium:MCnc:24H:Urine:Qn","Magnesium [Mass/volume] in 24 hour Urine"
"Immunoglobulin light chains.lambda, Urine","25684-2","Immunoglobulin light chains.lambda:MRat:24H:Urine:Qn","Lambda light chains [Mass/time] in 24 hour Urine"
"Immunoglobulin light chains.kappa, Urine","25682-6","Immunoglobulin light chains.kappa:MRat:24H:Urine:Qn","Kappa light chains [Mass/time] in 24 hour Urine"
"Lamb allergy test","6155-6","Lamb Ab.IgE:ACnc:Pt:Ser:Qn","Lamb IgE Ab [Units/volume] in Serum"
"Protein.monoclonal, Blood","33358-3","Protein.monoclonal:MCnc:Pt:Ser/Plas:Qn:Electrophoresis","Protein.monoclonal [Mass/volume] in Serum or Plasma by Electrophoresis"
"Immunoglobulin light chains.kappa, Blood","40635-5","Immunoglobulin light chains.kappa:PrThr:Pt:Ser:Ord:Immunofixation","Kappa light chains [Presence] in Serum by Immunofixation"
"Susceptibility to Linezolid","29258-1","Linezolid:Susc:Pt:Isolate:OrdQn","Linezolid [Susceptibility]"
"Kiwifruit allergy test","6154-9","Actinidia chinensis Ab.IgE:ACnc:Pt:Ser:Qn","Kiwifruit IgE Ab [Units/volume] in Serum"
"Magnesium, Blood","21377-7","Magnesium:MCnc:Pt:Bld:Qn","Magnesium [Mass/volume] in Blood"
"Immunoglobulin light chains.lambda, Urine","88303-3","Immunoglobulin light chains.lambda:PrThr:24H:Urine:Ord:Immunofixation","Lambda light chains [Presence] in 24 hour Urine by Immunofixation"
"Lipase, Blood","3040-3","Triacylglycerol lipase:CCnc:Pt:Ser/Plas:Qn","Lipase [Enzymatic activity/volume] in Serum or Plasma"
"Lettuce allergy test","6161-4","Lactuca sativa Ab.IgE:ACnc:Pt:Ser:Qn","Lettuce IgE Ab [Units/volume] in Serum"
"Lead/Creatinine, Urine","13466-8","Lead/Creatinine:MRto:Pt:Urine:Qn","Lead/Creatinine [Mass Ratio] in Urine"
